np,algorithm,Avg Latency(us),Min Latency(us),Max Latency(us),Iterations
2,default,0.25,0.25,0.25,10000
4,default,0.74,0.74,0.75,10000
6,default,0.89,0.89,0.89,10000
8,default,0.95,0.95,0.95,10000
10,default,1.53,1.53,1.54,10000
12,default,1.56,1.56,1.56,10000
14,default,2.81,2.78,2.83,10000
16,default,2.33,2.29,2.34,10000
18,default,3.34,3.33,3.35,10000
20,default,3.31,3.3,3.31,10000
22,default,3.51,3.51,3.52,10000
24,default,3.77,3.75,3.78,10000
26,default,4.07,4.06,4.07,10000
28,default,4.2,4.19,4.21,10000
30,default,5.02,5.01,5.03,10000
32,default,3.49,3.46,3.5,10000
34,default,4.6,4.59,4.6,10000
36,default,4.71,4.7,4.72,10000
38,default,5.05,5.05,5.06,10000
40,default,5.12,5.12,5.13,10000
42,default,4.95,4.93,4.95,10000
44,default,4.81,4.8,4.81,10000
46,default,5.55,5.55,5.56,10000
48,default,8.63,8.63,8.64,10000
2,linear,0.4,0.4,0.4,10000
4,linear,0.72,0.72,0.73,10000
6,linear,0.95,0.95,0.95,10000
8,linear,1.2,1.2,1.2,10000
10,linear,1.56,1.55,1.56,10000
12,linear,2.03,2.03,2.04,10000
14,linear,2.74,2.73,2.75,10000
16,linear,3.13,3.09,3.14,10000
18,linear,4.05,4.03,4.07,10000
20,linear,4.85,4.84,4.86,10000
22,linear,4.76,4.74,4.77,10000
24,linear,5.71,5.69,5.72,10000
26,linear,4.66,4.66,4.67,10000
28,linear,5.02,5,5.03,10000
30,linear,5.08,5.07,5.09,10000
32,linear,5.39,5.38,5.39,10000
34,linear,4.9,4.88,4.91,10000
36,linear,6.21,6.2,6.21,10000
38,linear,6.97,6.96,6.97,10000
40,linear,7.19,7.18,7.2,10000
42,linear,7.37,7.36,7.37,10000
44,linear,7.97,7.96,7.97,10000
46,linear,8.64,8.64,8.65,10000
48,linear,5,4.98,5,10000
2,tree,0.37,0.37,0.38,10000
4,tree,0.95,0.94,0.95,10000
6,tree,1.29,1.27,1.29,10000
8,tree,1.94,1.91,1.98,10000
10,tree,2,1.95,2.01,10000
12,tree,1.67,1.64,1.68,10000
14,tree,2.39,2.37,2.4,10000
16,tree,3.17,3.15,3.18,10000
18,tree,3.2,3.15,3.21,10000
20,tree,3.82,3.79,3.84,10000
22,tree,3.43,3.38,3.44,10000
24,tree,3.39,3.38,3.41,10000
26,tree,3.74,3.72,3.74,10000
28,tree,4.15,4.14,4.15,10000
30,tree,4.6,4.58,4.6,10000
32,tree,4.98,4.95,4.98,10000
34,tree,5.85,5.84,5.86,10000
36,tree,4.84,4.82,4.85,10000
38,tree,4.93,4.91,4.93,10000
40,tree,4.79,4.77,4.79,10000
42,tree,5.38,5.37,5.38,10000
44,tree,5.3,5.3,5.31,10000
46,tree,4.93,4.92,4.93,10000
48,tree,5.83,5.82,5.84,10000
