np,height,time
2,512,1.87574
4,1024,1.26136
6,1536,1.14878
8,2048,1.10663
10,2560,1.10521
12,3072,1.11989
14,3584,1.09557
16,4096,1.12512
18,4608,1.15102
20,5120,1.12952
22,5632,1.15365
24,6144,1.1885
26,6656,1.25146
28,7168,1.27369
30,7680,1.32131
32,8192,1.35986
34,8704,1.38499
36,9216,1.41078
38,9728,1.43582
40,10240,1.47886
42,10752,1.54761
44,11264,1.57513
46,11776,1.6093
48,12288,1.65968
50,12800,1.65821
52,13312,1.72743
54,13824,1.7974
56,14336,1.76252
58,14848,1.88124
60,15360,1.84016
62,15872,1.92375
64,16384,1.94105
66,16896,1.99625
68,17408,2.14312
70,17920,2.14206
72,18432,2.19977
74,18944,2.25317
76,19456,2.29073
78,19968,2.24291
80,20480,2.31732
82,20992,2.43779
84,21504,2.43819
86,22016,2.47105
88,22528,2.47904
90,23040,2.59515
92,23552,2.61488
94,24064,2.6711
96,24576,2.6574
